base,digits,attractor_id,cycle,cycle_length,kind,basin_size_all,basin_percentage_all,basin_size_valid,basin_percentage_valid,repdigit_basin_size,maximum_transient_depth_all,maximum_transient_depth_valid
6,5,41532,41532 -> 41532,1,fixed point,5440,69.95884773662551,5440,70.01287001287001,0,6,6
6,6,000000,000000 -> 000000,1,fixed point,6,0.01286008230452675,0,0.0,6,1,
6,6,205544 -> 525521 -> 432222,205544 -> 525521 -> 432222 -> 205544,3,non-trivial cycle,26760,57.3559670781893,26760,57.363344051446944,0,7,7
6,6,325523,325523 -> 325523,1,fixed point,630,1.3503086419753085,630,1.3504823151125402,0,1,1
6,6,420432,420432 -> 420432,1,fixed point,13200,28.292181069958847,13200,28.29581993569132,0,5,5
6,6,530421,530421 -> 530421,1,fixed point,6060,12.988683127572017,6060,12.990353697749196,0,3,3
7,2,00,00 -> 00,1,fixed point,49,100.0,42,100.0,7,4,4
7,3,000,000 -> 000,1,fixed point,7,2.0408163265306123,0,0.0,7,1,
7,3,264 -> 363,264 -> 363 -> 264,2,non-trivial cycle,336,97.95918367346938,336,100.0,0,4,4
7,4,0000,0000 -> 0000,1,fixed point,7,0.2915451895043732,0,0.0,7,1,
7,4,3054 -> 5052 -> 5232,3054 -> 5052 -> 5232 -> 3054,3,non-trivial cycle,2394,99.70845481049562,2394,100.0,0,4,4
7,5,00000,00000 -> 00000,1,fixed point,7,0.04164931278633902,0,0.0,7,1,
7,5,40653 -> 61641 -> 54612 -> 52632 -> 42633,40653 -> 61641 -> 54612 -> 52632 -> 42633 -> 40653,5,non-trivial cycle,16800,99.95835068721367,16800,100.0,0,6,6
7,6,000000,000000 -> 000000,1,fixed point,7,0.005949901826619861,0,0.0,7,1,
7,6,320544 -> 520542 -> 531432 -> 416643 -> 526632 -> 441423,320544 -> 520542 -> 531432 -> 416643 -> 526632 -> 441423 -> 320544,6,non-trivial cycle,117642,99.99405009817337,117642,100.0,0,7,7
8,2,00,00 -> 00,1,fixed point,8,12.5,0,0.0,8,1,
8,2,07 -> 61 -> 43,07 -> 61 -> 43 -> 07,3,non-trivial cycle,42,65.625,42,75.0,0,2,2
8,2,25,25 -> 25,1,fixed point,14,21.875,14,25.0,0,2,2
8,3,000,000 -> 000,1,fixed point,8,1.5625,0,0.0,8,1,
8,3,374,374 -> 374,1,fixed point,504,98.4375,504,100.0,0,5,5
8,4,0000,0000 -> 0000,1,fixed point,8,0.1953125,0,0.0,8,1,
8,4,1776 -> 6062 -> 6332 -> 3774 -> 4244,1776 -> 6062 -> 6332 -> 3774 -> 4244 -> 1776,5,non-trivial cycle,2768,67.578125,2768,67.71037181996086,0,5,5
8,4,3065 -> 6152 -> 5243,3065 -> 6152 -> 5243 -> 3065,3,non-trivial cycle,1320,32.2265625,1320,32.28962818003914,0,4,4
8,5,00000,00000 -> 00000,1,fixed point,8,0.0244140625,0,0.0,8,1,
8,5,42744 -> 47773,42744 -> 47773 -> 42744,2,non-trivial cycle,1910,5.828857421875,1910,5.83028083028083,0,2,2
8,5,51753 -> 61752 -> 63732 -> 52743,51753 -> 61752 -> 63732 -> 52743 -> 51753,4,non-trivial cycle,30850,94.146728515625,30850,94.16971916971917,0,8,8
8,6,000000,000000 -> 000000,1,fixed point,8,0.0030517578125,0,0.0,8,1,
8,6,310665 -> 651522 -> 532443,310665 -> 651522 -> 532443 -> 310665,3,non-trivial cycle,28564,10.89630126953125,28564,10.896633808404797,0,5,5
8,6,437734,437734 -> 437734,1,fixed point,1200,0.457763671875,1200,0.45777764213995786,0,1,1
