start,start_state,digit_multiset,x,y,first_result,first_result_state,distance_to_6174,trajectory
2171,2171,1127,6,1,6084,6084,7.0,2171 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2173,2173,1237,6,1,6084,6084,7.0,2173 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2179,2179,1279,8,5,8442,8442,7.0,2179 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2197,2197,1279,8,5,8442,8442,7.0,2197 -> 8442 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2236,2236,2236,4,1,4086,4086,7.0,2236 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2237,2237,2237,5,1,5085,5085,7.0,2237 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2238,2238,2238,6,1,6084,6084,7.0,2238 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2247,2247,2247,5,2,5175,5175,7.0,2247 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2263,2263,2236,4,1,4086,4086,7.0,2263 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2273,2273,2237,5,1,5085,5085,7.0,2273 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2274,2274,2247,5,2,5175,5175,7.0,2274 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174
2283,2283,2238,6,1,6084,6084,7.0,2283 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2304,2304,0234,4,1,4086,4086,7.0,2304 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2305,2305,0235,5,1,5085,5085,7.0,2305 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
2306,2306,0236,6,1,6084,6084,7.0,2306 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2315,2315,1235,4,1,4086,4086,7.0,2315 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174
2316,2316,1236,5,1,5085,5085,7.0,2316 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174
