start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
114,0114,False,3,0114,4,0,4110,114,3996,3996,0114 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
115,0115,False,3,0115,5,0,5110,115,4995,4995,0115 -> 4995 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
116,0116,False,3,0116,6,0,6110,116,5994,5994,0116 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
117,0117,False,3,0117,7,0,7110,117,6993,6993,0117 -> 6993 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
118,0118,False,3,0118,8,0,8110,118,7992,7992,0118 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
119,0119,False,3,0119,9,0,9110,119,8991,8991,0119 -> 8991 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
120,0120,False,3,0012,2,1,2100,12,2088,2088,0120 -> 2088 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
121,0121,False,3,0112,2,0,2110,112,1998,1998,0121 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
122,0122,False,3,0122,2,1,2210,122,2088,2088,0122 -> 2088 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
123,0123,False,4,0123,3,1,3210,123,3087,3087,0123 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
124,0124,False,4,0124,4,1,4210,124,4086,4086,0124 -> 4086 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
125,0125,False,4,0125,5,1,5210,125,5085,5085,0125 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
126,0126,False,4,0126,6,1,6210,126,6084,6084,0126 -> 6084 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
127,0127,False,4,0127,7,1,7210,127,7083,7083,0127 -> 7083 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
128,0128,False,4,0128,8,1,8210,128,8082,8082,0128 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
129,0129,False,4,0129,9,1,9210,129,9081,9081,0129 -> 9081 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,4,4,,True,False,False,1,6174 -> 6174
130,0130,False,3,0013,3,1,3100,13,3087,3087,0130 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
131,0131,False,3,0113,3,0,3110,113,2997,2997,0131 -> 2997 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
132,0132,False,4,0123,3,1,3210,123,3087,3087,0132 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
133,0133,False,3,0133,3,2,3310,133,3177,3177,0133 -> 3177 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
134,0134,False,4,0134,4,2,4310,134,4176,4176,0134 -> 4176 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
135,0135,False,4,0135,5,2,5310,135,5175,5175,0135 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
136,0136,False,4,0136,6,2,6310,136,6174,6174,0136 -> 6174 -> 6174,6174,6174,1,1,,True,False,False,1,6174 -> 6174
137,0137,False,4,0137,7,2,7310,137,7173,7173,0137 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
138,0138,False,4,0138,8,2,8310,138,8172,8172,0138 -> 8172 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
